# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_fdr_bh	study_items
GO:0008284	BP	e	positive regulation of cell population proliferation	43/1277	446/43182	1.6263939697195486e-11	5	43	1.9811104945153821e-07	1.8010095404685294e-08	150, 552, 650, 654, 683, 823, 1646, 1910, 2065, 2146, 2241, 2246, 2247, 2252, 2277, 2350, 3280, 3479, 4072, 4081, 4282, 5590, 5728, 5737, 5745, 6285, 6358, 6597, 6599, 6659, 7122, 7148, 8644, 8854, 9055, 9236, 9270, 51085, 57111, 65108, 85480, 89958, 152831
GO:0007049	BP	e	cell cycle	33/1277	280/43182	1.9334529593947313e-11	2	33	2.3551390498387223e-07	1.962615874865602e-08	902, 1028, 1030, 1031, 1389, 1452, 1843, 2037, 2770, 3070, 3875, 4678, 5603, 5928, 8480, 8536, 8850, 9236, 9727, 10807, 28984, 29128, 51433, 55137, 55215, 55437, 55615, 55920, 60370, 63922, 63971, 91768, 117583
GO:0001525	BP	e	angiogenesis	30/1277	243/43182	4.954766542729021e-11	3	30	6.035401125698221e-07	4.6426162505370926e-08	71, 284, 657, 857, 1901, 1942, 2028, 2246, 3204, 3952, 3953, 4162, 4223, 4883, 5140, 5290, 5587, 6461, 7410, 8322, 10016, 10203, 10451, 51129, 51752, 55273, 57674, 58495, 64321, 83478
GO:0042572	BP	e	retinol metabolic process	14/1277	50/43182	1.2658408931186704e-10	9	14	1.5419207919078524e-06	1.0279471946052349e-07	124, 125, 126, 216, 3991, 5950, 5959, 8644, 8854, 9249, 54884, 57104, 84649, 112724
GO:0045600	BP	e	positive regulation of fat cell differentiation	14/1277	50/43182	1.2658408931186704e-10	6	14	1.5419207919078524e-06	1.0279471946052349e-07	650, 1040, 1050, 1389, 4023, 5468, 5919, 7538, 7704, 10974, 55252, 55885, 83643, 84935
GO:0010629	BP	e	negative regulation of gene expression	29/1277	242/43182	2.1228649676348441e-10	8	29	2.585861817076004e-06	1.5587184661029733e-07	32, 650, 657, 947, 948, 983, 1108, 1410, 1786, 2247, 2534, 3280, 3479, 4035, 4282, 4487, 5091, 5290, 5468, 6586, 6790, 7122, 9314, 27303, 58495, 83643, 84913, 128239, 100506658
GO:0070374	BP	e	positive regulation of ERK1 and ERK2 cascade	26/1277	197/43182	2.1753726232452629e-10	9	26	2.649821392375055e-06	1.5587184661029733e-07	148, 284, 650, 948, 2246, 2247, 3479, 3624, 4282, 4889, 5151, 5320, 5322, 5590, 5781, 6358, 7099, 8622, 8837, 9590, 10979, 23779, 151306, 168667, 222166, 338557
GO:0009617	BP	e	response to bacterium	17/1277	83/43182	2.9495246516580625e-10	5	17	3.592815978184686e-06	1.9835823383692068e-07	225, 650, 857, 1675, 2167, 2277, 2719, 4023, 5836, 7069, 8724, 9370, 10345, 51752, 55024, 132299, 151887
GO:0007155	BP	e	cell adhesion	41/1277	452/43182	3.0940041399733134e-10	2	41	3.768806442901493e-06	1.9835823383692068e-07	488, 780, 948, 1364, 1805, 1901, 2241, 2350, 3280, 3688, 3908, 3910, 3915, 4162, 4239, 4921, 4958, 5101, 5239, 6285, 7122, 7148, 7301, 8082, 8189, 8406, 8639, 8727, 8839, 9638, 9993, 10752, 10979, 22883, 23037, 54510, 79977, 83660, 117178, 117583, 131873
GO:0016477	BP	e	cell migration	28/1277	233/43182	4.055179074801564e-10	3	28	4.939613631015785e-06	2.4698068155078925e-07	983, 1398, 1901, 1942, 2028, 2719, 3280, 3489, 3688, 3728, 3911, 3915, 4690, 5290, 5590, 5728, 6382, 6385, 6548, 7301, 7410, 9270, 10451, 23286, 30011, 54820, 57124, 100133941
GO:0071560	BP	e	cellular response to transforming growth factor beta stimulus	15/1277	64/43182	4.3782821026757893e-10	5	15	5.333185429269379e-06	2.539612109175895e-07	857, 1030, 1398, 2200, 2534, 2908, 4921, 5138, 5139, 5179, 5494, 6660, 6935, 7123, 57669
GO:0006629	BP	e	lipid metabolic process	23/1277	161/43182	4.849059255169743e-10	3	23	5.906639078722264e-06	2.6848359448737566e-07	13, 316, 594, 948, 1149, 1398, 2171, 2184, 3952, 3995, 4035, 5050, 5091, 5139, 5346, 5468, 7069, 11343, 23228, 51129, 81544, 137872, 221895
GO:0120162	BP	e	positive regulation of cold-induced thermogenesis	18/1277	101/43182	9.765630573296815e-10	5	18	1.189551460133285e-05	5.142882722685725e-07	33, 153, 154, 857, 948, 2167, 2171, 2180, 3033, 3952, 3953, 6319, 6597, 9370, 50486, 64641, 83401, 338557
GO:0072659	BP	e	protein localization to plasma membrane	22/1277	153/43182	1.0132927127859567e-09	6	22	1.2342918534445739e-05	5.142882722685725e-07	287, 784, 999, 3728, 3745, 3911, 5064, 5590, 5962, 6093, 6281, 6711, 7430, 9270, 9370, 9530, 23136, 30846, 51201, 56246, 145567, 286753
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	85/1277	1423/43182	1.2840197619383057e-09	9	85	1.5640644720170503e-05	6.256257888068201e-07	687, 861, 902, 983, 1050, 1052, 1112, 1164, 1389, 1398, 1488, 1879, 1999, 2018, 2100, 2308, 2354, 2521, 2908, 3131, 3149, 3204, 3206, 3280, 3624, 3664, 3725, 4094, 4223, 4286, 4487, 4774, 5468, 6492, 6597, 6599, 6660, 6776, 6913, 6935, 6942, 7003, 7020, 7030, 7227, 7678, 7704, 8850, 9096, 9314, 9586, 9839, 10127, 10655, 10848, 22992, 26048, 28999, 51085, 51804, 54811, 55578, 55657, 58495, 63876, 64321, 64641, 79776, 79977, 83595, 84159, 84914, 85460, 92999, 93986, 117581, 128553, 136259, 148327, 158800, 220929, 253738, 359948, 389136, 100128927
GO:0042593	BP	e	glucose homeostasis	18/1277	103/43182	1.3590559497392812e-09	4	18	1.6554660523774183e-05	6.367177124528532e-07	150, 1050, 1408, 2171, 3745, 3952, 3953, 5105, 5164, 5166, 5468, 5781, 5836, 5950, 6443, 6659, 9370, 51085
GO:0051897	BP	e	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	22/1277	164/43182	3.832881706550938e-09	8	22	4.668833206749697e-05	1.7291974839813694e-06	284, 847, 1646, 2065, 2241, 2247, 2625, 3479, 3688, 3952, 4653, 5290, 5587, 7410, 8644, 9270, 9530, 10451, 10979, 55615, 64805, 114897
GO:0060021	BP	e	roof of mouth development	14/1277	64/43182	4.391943443371415e-09	3	14	5.349826308370721e-05	1.9106522529895435e-06	444, 657, 3624, 3664, 4223, 4487, 7020, 7122, 9249, 51057, 54796, 54880, 84159, 91461
GO:0030154	BP	e	cell differentiation	43/1277	537/43182	5.194210342538624e-09	3	43	6.327067618246298e-05	2.1817474545676893e-06	117, 857, 858, 991, 1063, 1389, 1999, 2246, 2247, 2252, 2273, 2534, 3624, 3716, 4735, 5468, 5587, 5919, 6256, 6492, 6935, 7421, 8536, 9270, 10974, 11167, 23414, 51099, 51776, 55832, 64855, 79864, 83478, 83595, 83890, 84913, 91461, 91851, 117581, 130399, 151827, 222698, 285313
GO:0030036	BP	e	actin cytoskeleton organization	24/1277	197/43182	5.391304983535276e-09	6	24	6.56714860044432e-05	2.1890495334814397e-06	150, 301, 1398, 1525, 1901, 2039, 2241, 2252, 3985, 5290, 6093, 6711, 7148, 7430, 9266, 9754, 10391, 10395, 10435, 10810, 22808, 23500, 79778, 121512
GO:0051301	BP	e	cell division	33/1277	349/43182	5.880466549786794e-09	2	33	7.162996304295295e-05	2.310643969127514e-06	891, 983, 991, 1063, 1164, 1452, 2037, 2770, 2908, 3070, 3978, 3993, 6790, 6867, 7329, 8480, 9055, 9133, 9134, 9727, 10807, 11065, 11130, 23111, 51433, 54820, 55137, 55920, 63971, 80254, 84722, 91768, 117583
GO:0008286	BP	e	insulin receptor signaling pathway	14/1277	66/43182	6.724073606025065e-09	8	14	8.190594059499132e-05	2.4954037836877684e-06	858, 1979, 2241, 2308, 2822, 5164, 5166, 5290, 5296, 5919, 6599, 10580, 23433, 64397
GO:0030324	BP	e	lung development	15/1277	77/43182	6.760391171635855e-09	4	15	8.234832486169635e-05	2.4954037836877684e-06	657, 1050, 2246, 2247, 2252, 2719, 3280, 3290, 3911, 4311, 5950, 8854, 9509, 23414, 147372
GO:0120163	BP	e	negative regulation of cold-induced thermogenesis	12/1277	47/43182	8.534470165700969e-09	5	12	0.0001039583810884035	3.0575994437765733e-06	216, 1149, 3910, 4012, 4883, 7030, 7099, 9370, 9444, 11096, 23228, 57406
GO:0030335	BP	e	positive regulation of cell migration	25/1277	228/43182	2.2382678842481147e-08	6	25	0.00027264341098026283	7.789811742293225e-06	71, 150, 650, 857, 1364, 1901, 2159, 2241, 2246, 3479, 3688, 4162, 4641, 4653, 5962, 6405, 7329, 8322, 10979, 23500, 56920, 84904, 117581, 131578, 286077
GO:0002040	BP	e	sprouting angiogenesis	10/1277	33/43182	2.460061687308832e-08	4	10	0.0002996601141310888	8.323892059196912e-06	284, 2277, 7423, 8434, 25960, 55742, 57674, 84870, 147372, 196740
GO:0007186	BP	e	G protein-coupled receptor signaling pathway	42/1277	550/43182	3.0123452401904874e-08	5	42	0.00036693377370760325	9.917129019124413e-06	19, 148, 150, 157, 552, 801, 1646, 1901, 2770, 2791, 2857, 3973, 4881, 4883, 4889, 5139, 5140, 5468, 5733, 5737, 5745, 6358, 8322, 8644, 8843, 9170, 9590, 9620, 9934, 25960, 26575, 51222, 51554, 51655, 54331, 64805, 80243, 115330, 116535, 151306, 283383, 338557
GO:0098609	BP	e	cell-cell adhesion	22/1277	184/43182	3.251759433272936e-08	3	22	0.00039609681656697633	1.0423600435973062e-05	301, 947, 999, 1741, 1832, 3672, 3679, 3688, 3728, 3875, 4072, 7094, 7148, 8613, 9620, 27134, 55971, 58494, 79633, 83660, 257194, 100133941
GO:0010875	BP	e	positive regulation of cholesterol efflux	9/1277	26/43182	3.3381484978191633e-08	9	9	0.0004066198685193523	1.0426150474855186e-05	19, 857, 1066, 4035, 5468, 6256, 9370, 10351, 80820
GO:0009653	BP	e	anatomical structure morphogenesis	17/1277	113/43182	3.978665287068528e-08	2	17	0.00048464121861781744	1.2116030465445436e-05	1368, 2200, 2246, 2625, 2719, 3875, 3978, 4081, 4162, 7163, 8870, 10894, 23612, 51085, 51804, 84913, 158326
GO:0001523	BP	e	retinoid metabolic process	9/1277	27/43182	4.875456574127348e-08	8	9	0.0005938793652944522	1.448486256815737e-05	125, 128, 216, 1645, 4035, 5919, 5959, 8644, 9249
GO:0014823	BP	e	response to activity	11/1277	45/43182	5.846590672229888e-08	2	11	0.0007121732097843227	1.6562167669402852e-05	654, 847, 983, 1408, 3033, 3952, 5105, 5290, 6935, 9365, 9370
GO:0006635	BP	e	fatty acid beta-oxidation	11/1277	45/43182	5.846590672229888e-08	9	11	0.0007121732097843227	1.6562167669402852e-05	34, 35, 38, 225, 1962, 3033, 3952, 9370, 10449, 55862, 56898
GO:0007160	BP	e	cell-matrix adhesion	16/1277	103/43182	6.2558110085355e-08	4	16	0.0007620203389497093	1.731864406703885e-05	947, 1842, 3672, 3679, 3688, 4811, 7148, 9270, 10018, 10516, 10580, 10894, 10979, 54749, 79987, 158326
GO:0086003	BP	e	cardiac muscle cell contraction	5/1277	6/43182	1.313689155246924e-07	5	5	0.001600204760006278	3.491666672443216e-05	2934, 5290, 6444, 6548, 10060
GO:0010595	BP	e	positive regulation of endothelial cell migration	12/1277	59/43182	1.3185835886412278e-07	8	12	0.0016061666693238795	3.491666672443216e-05	284, 2246, 2247, 2625, 2822, 5587, 8613, 9270, 10016, 25960, 84913, 147372
GO:0001822	BP	e	kidney development	16/1277	110/43182	1.6026129668929908e-07	4	16	0.001952142854972352	4.153495436111387e-05	654, 1028, 1063, 2625, 3070, 3764, 4311, 5125, 7020, 8854, 9104, 10018, 23371, 51057, 57545, 84159
GO:0060070	BP	e	canonical Wnt signaling pathway	15/1277	97/43182	1.7079010665330335e-07	7	15	0.0020803942891438883	4.3341547690497674e-05	1910, 2247, 2308, 2719, 3728, 4811, 5728, 6382, 7481, 8322, 8434, 9314, 25960, 84870, 85458
GO:0051895	BP	e	negative regulation of focal adhesion assembly	7/1277	16/43182	1.761763444628001e-07	8	7	0.002146004051901368	4.379600105921159e-05	395, 2039, 5728, 9270, 10395, 55920, 56940
GO:0033539	BP	e	fatty acid beta-oxidation using acyl-CoA dehydrogenase	6/1277	11/43182	2.68891693541066e-07	10	6	0.003275369719023725	6.55073943804745e-05	33, 34, 35, 2108, 2109, 2110
GO:0022900	BP	e	electron transport chain	11/1277	52/43182	2.8787981187487324e-07	4	11	0.003506663988447831	6.875811742054571e-05	128, 217, 314, 444, 1528, 1534, 2110, 4199, 8659, 9249, 29958
GO:0050873	BP	e	brown fat cell differentiation	9/1277	33/43182	3.419258840394769e-07	5	9	0.004164999193484869	7.858489044311073e-05	153, 154, 1050, 2167, 4329, 9370, 64641, 283927, 338557
GO:0035633	BP	e	maintenance of blood-brain barrier	9/1277	33/43182	3.419258840394769e-07	5	9	0.004164999193484869	7.858489044311073e-05	71, 3688, 3908, 3915, 7122, 27134, 51599, 58494, 100506658
GO:0045669	BP	e	positive regulation of osteoblast differentiation	12/1277	67/43182	5.68233084714743e-07	6	12	0.0069216472049102844	0.00012817865194278305	650, 654, 657, 1050, 1052, 2247, 2662, 3479, 4921, 5587, 10979, 338557
GO:0009410	BP	e	response to xenobiotic stimulus	23/1277	234/43182	5.792200166140996e-07	3	23	0.007055479022376347	0.00012828143677047902	32, 117, 148, 368, 847, 983, 999, 1063, 1788, 2018, 2354, 3033, 3764, 3973, 4646, 5139, 5395, 5797, 7298, 10060, 10451, 10555, 25807
GO:0006631	BP	e	fatty acid metabolic process	13/1277	80/43182	6.247302183250114e-07	7	13	0.007609838789416963	0.0001358899783824458	224, 948, 4023, 5095, 5322, 5468, 5577, 7148, 10965, 22880, 51099, 57678, 79746
GO:1902895	BP	e	positive regulation of miRNA transcription	11/1277	56/43182	6.369335840607368e-07	11	11	0.007758487987443835	0.0001361138243411199	650, 657, 2247, 2625, 2908, 3725, 5468, 6597, 7003, 9314, 84913
GO:0034446	BP	e	substrate adhesion-dependent cell spreading	10/1277	46/43182	7.64018087245418e-07	4	10	0.009306504320736438	0.00015644788752655918	1942, 2241, 3911, 3915, 7301, 8322, 9341, 10979, 55742, 79778
GO:0019915	BP	e	lipid storage	8/1277	27/43182	7.698432935388218e-07	3	8	0.00937746115859639	0.00015644788752655918	857, 948, 1149, 1408, 57104, 63924, 84649, 130399
GO:0046326	BP	e	positive regulation of glucose import	9/1277	36/43182	7.706159799354364e-07	8	9	0.00938687325159355	0.00015644788752655918	1389, 2719, 3479, 5781, 9370, 10580, 23433, 28999, 100506658
GO:0150104	BP	e	transport across blood-brain barrier	13/1277	82/43182	8.37372223966627e-07	6	13	0.010200031060137484	0.00016721362393668006	477, 552, 3764, 3953, 4035, 6541, 6581, 8671, 9194, 10060, 53919, 81539, 222962
GO:0050731	BP	e	positive regulation of peptidyl-tyrosine phosphorylation	13/1277	83/43182	9.661489438007527e-07	10	13	0.011768660284436969	0.00018981710136188658	284, 654, 948, 1942, 2252, 2690, 3479, 4282, 5168, 5781, 8613, 9370, 55024
GO:0007399	BP	e	nervous system development	29/1277	355/43182	1.040976170106121e-06	4	29	0.01268013072806266	0.0002012719163184549	338, 991, 1910, 2247, 2675, 3280, 3624, 5050, 5587, 6492, 6597, 6599, 6659, 6687, 7301, 7436, 8507, 8536, 9079, 9638, 9839, 10858, 22871, 51057, 81544, 84913, 91768, 130399, 256691
GO:0007507	BP	e	heart development	20/1277	191/43182	1.1545638683912428e-06	4	20	0.014063742480873729	0.00021864113828188686	650, 1525, 2065, 2200, 5125, 5532, 5728, 5781, 5950, 6659, 8850, 9645, 10203, 23414, 27129, 54880, 57538, 57545, 64208, 64321
GO:0031670	BP	e	cellular response to nutrient	5/1277	8/43182	1.1667083152715414e-06	6	5	0.014211673988322645	0.00021864113828188686	1030, 1452, 4023, 5164, 5337
GO:0043410	BP	e	positive regulation of MAPK cascade	18/1277	159/43182	1.2655706483198812e-06	8	18	0.015415916067184473	0.00023357448586643144	148, 150, 154, 650, 858, 1942, 2247, 3479, 3489, 3672, 3952, 6093, 9170, 23286, 55024, 60370, 114897, 128239
GO:0090303	BP	e	positive regulation of wound healing	8/1277	29/43182	1.4120924274832348e-06	7	8	0.017200697859173282	0.00025672683371900424	71, 150, 301, 1364, 2039, 3688, 4921, 100506658
GO:0010976	BP	e	positive regulation of neuron projection development	15/1277	115/43182	1.6119149208708442e-06	8	15	0.019634735651127753	0.00028584752013057266	780, 2011, 2534, 4690, 4921, 5587, 8507, 8536, 8724, 8837, 8850, 9139, 9638, 22871, 257194
GO:0043116	BP	e	negative regulation of vascular permeability	6/1277	14/43182	1.6192003028494797e-06	6	6	0.01972347888900951	0.00028584752013057266	284, 5138, 5139, 7122, 9590, 10979
GO:0071711	BP	e	basement membrane organization	7/1277	22/43182	2.247687614528431e-06	6	7	0.02737908283257082	0.0003911297547510117	857, 858, 1282, 3688, 4320, 4811, 10653
GO:0045732	BP	e	positive regulation of protein catabolic process	12/1277	76/43182	2.302116737271155e-06	7	12	0.028042083976699942	0.0003949589292492949	580, 2308, 2719, 5962, 7430, 8870, 9686, 25807, 26234, 51514, 64321, 83547
GO:0006069	BP	e	ethanol oxidation	5/1277	9/43182	2.5607832947201934e-06	7	5	0.031192901312986677	0.00042730001798611887	124, 125, 126, 128, 55902
GO:0035360	BP	e	positive regulation of peroxisome proliferator activated receptor signaling pathway	5/1277	9/43182	2.5607832947201934e-06	7	5	0.031192901312986677	0.00042730001798611887	650, 2171, 3952, 55252, 55885
GO:0050848	BP	e	regulation of calcium-mediated signaling	6/1277	15/43182	2.63086150518943e-06	7	6	0.03204652399471245	0.0004330611350636817	683, 801, 5164, 9104, 55273, 90861
GO:0030501	BP	e	positive regulation of bone mineralization	9/1277	42/43182	3.1119779741211646e-06	7	9	0.037907003702769906	0.0005054267160369321	154, 650, 654, 657, 6256, 7020, 7421, 9365, 91461
GO:0048511	BP	e	rhythmic process	11/1277	66/43182	3.5076752862255825e-06	1	11	0.04272699266151382	0.000562197271862024	983, 2146, 3131, 5468, 5602, 7153, 8850, 10765, 11335, 22871, 51514
GO:0000226	BP	e	microtubule cytoskeleton organization	15/1277	123/43182	3.7852614635019e-06	6	15	0.046108269886916645	0.0005988086998300863	983, 2009, 2011, 2241, 5590, 6867, 8555, 9055, 55012, 55137, 55812, 57530, 79649, 117583, 146057
GO:0007517	BP	e	muscle organ development	13/1277	94/43182	4.076031799873853e-06	4	13	0.049650143354263404	0.0006365402994136333	1063, 1410, 2273, 3479, 3679, 3688, 3908, 3911, 4487, 6443, 6444, 6445, 100128927
GO:0010467	BP	e	gene expression	15/1277	124/43182	4.189540239910474e-06	5	15	0.05103278966234949	0.0006459846792702467	368, 1910, 2308, 2908, 3764, 4774, 6443, 6445, 6659, 7099, 9370, 64321, 79987, 90865, 128239
GO:0045785	BP	e	positive regulation of cell adhesion	10/1277	55/43182	4.307320473184626e-06	5	10	0.052467470683861935	0.0006495573777080215	284, 3908, 3915, 4811, 5296, 7030, 9530, 10451, 54518, 54566
GO:0050821	BP	e	protein stabilization	20/1277	208/43182	4.319361923844491e-06	4	20	0.05261414759434974	0.0006495573777080215	287, 902, 1389, 1410, 1942, 3479, 4487, 5728, 5824, 6659, 7203, 8575, 8613, 9530, 10491, 11261, 55742, 64321, 80254, 338328
GO:0030334	BP	e	regulation of cell migration	13/1277	95/43182	4.595328876231862e-06	5	13	0.055975701041380305	0.0006826305005046379	2252, 3908, 3910, 3911, 4690, 5168, 6093, 7148, 9079, 55920, 91584, 91624, 146057
GO:0009791	BP	e	post-embryonic development	11/1277	69/43182	5.493482817491889e-06	2	11	0.0669161141998687	0.0008062182433719121	34, 48, 338, 2625, 4692, 6335, 6414, 10018, 10765, 10848, 84159
GO:0050872	BP	e	white fat cell differentiation	6/1277	17/43182	6.182865262016716e-06	5	6	0.07531348175662562	0.0008860409618426544	1050, 1488, 2167, 4882, 5468, 338557
GO:0050678	BP	e	regulation of epithelial cell proliferation	6/1277	17/43182	6.182865262016716e-06	5	6	0.07531348175662562	0.0008860409618426544	1910, 3280, 3911, 4070, 29128, 51804
GO:0030032	BP	e	lamellipodium assembly	8/1277	35/43182	6.614200415928581e-06	7	8	0.08056757526642604	0.0009368322705398377	1901, 2039, 3688, 4690, 7410, 10451, 10810, 64805
GO:0051894	BP	e	positive regulation of focal adhesion assembly	7/1277	26/43182	7.81645103982709e-06	8	7	0.0952121901161338	0.0010943929898406183	4653, 6093, 6281, 6385, 9270, 10979, 57669
GO:0048144	BP	e	fibroblast proliferation	8/1277	36/43182	8.283795969069482e-06	3	8	0.10090491869923536	0.0011466468034004018	857, 983, 1164, 2277, 3764, 10060, 54331, 57124
GO:0008217	BP	e	regulation of blood pressure	11/1277	72/43182	8.396795032505749e-06	3	11	0.10228136029095253	0.0011492287673140734	477, 2028, 3043, 3764, 3952, 4012, 4881, 4882, 4883, 5468, 51752
GO:0046889	BP	e	positive regulation of lipid biosynthetic process	6/1277	18/43182	9.041656826064311e-06	7	6	0.11013642179828938	0.0012102903494317515	1389, 5105, 10580, 51085, 57406, 83643
GO:0019433	BP	e	triglyceride catabolic process	6/1277	18/43182	9.041656826064311e-06	8	6	0.11013642179828938	0.0012102903494317515	338, 3991, 4023, 11343, 57104, 338328
GO:0006897	BP	e	endocytosis	18/1277	183/43182	9.365080118328966e-06	5	18	0.11407604092136514	0.0012399569665365775	274, 287, 2690, 4641, 4646, 5168, 8987, 9266, 10216, 23433, 30011, 30835, 30846, 51554, 79874, 132299, 163486, 286133
GO:0030509	BP	e	BMP signaling pathway	11/1277	73/43182	9.623949502507654e-06	9	11	0.11722932889004574	0.0012514147148116144	650, 654, 657, 3280, 4487, 4774, 5468, 23111, 55273, 91851, 168667
